nombre_deportista,nombre_especialidad,nombre_torneo_peor,intento_peor,marca_peor,nombre_torneo_mejor,intento_mejor,marca_mejor
Roza DEREJE,carrera 21000 m,Torneo de Netherlands,1,3825191.0,Torneo de Senegal,1,3481121.0
Charlie DAVALL GRICE,carrera 1500 m,Torneo de Kiribati,1,229577.0,Torneo de Guatemala,1,208780.0
Noah LYLES,carrera 100 m,Torneo de Libya,1,10736.0,Torneo de Puerto Rico,1,9760.0
Jonathan JONES,lanzamiento de bala,Torneo de Sri Lanka,1,2293.0,Torneo de Zimbabwe,6,2521.0
Isiah YOUNG,carrera 100 m,Torneo de Barbados,1,10728.0,Torneo de Macedonia,1,9769.0
Stefano SOTTILE,salto de altura,Torneo de Armenia,10,237.0,Torneo de South Sudan,9,261.0
Mule WASIHUN,carrera 42000 m,Torneo de Cambodia,1,8026576.0,Torneo de Sierra Leone,1,7303410.0
Blessing OKAGBARE,carrera 200 m,Torneo de Austria,1,21449.0,Torneo de Oman,1,19508.0
Dawit SEYAUM,carrera 1500 m,Torneo de Equatorial Guinea,1,229624.0,Torneo de Oman,1,208772.0
Susan KRUMINS,carrera 10000 m,Torneo de Uzbekistan,1,1768428.0,Torneo de Monaco,1,1609056.0
Kenneth BEDNAREK,carrera 400 m,Torneo de Taiwan,1,47784.0,Torneo de Uzbekistan,1,43496.0
Sifan HASSAN,carrera 21000 m,Torneo de Saint Lucia,1,3826790.0,Torneo de Gambia,1,3482679.0
Anthony Jos� ZAMBRANO,carrera 400 m,Torneo de Cuba,1,47777.0,Torneo de Brunei,1,43573.0
Kara WINGER,lanzamiento de jabalina,Torneo de Malta,7,9066.0,Torneo de Poland,6,9966.0
Jakob INGEBRIGTSEN,carrera 5000 m,Torneo de Colombia,1,849290.0,Torneo de Argentina,1,772184.0
Shericka JACKSON,carrera 400 m,Torneo de Gambia,1,47762.0,Torneo de Sweden,1,43501.0
Darya KLISHINA,salto largo,Torneo de Latvia,2,869.0,Torneo de Albania,8,956.0
Andre DE GRASSE,carrera 200 m,Torneo de Brunei,1,21450.0,Torneo de Kenya,1,19508.0
Collins KIPRUTO,carrera 800 m,Torneo de Rwanda,1,112056.0,Torneo de Czechia,1,101906.0
Marius KIPSEREM,carrera 42000 m,Torneo de Afghanistan,1,8026004.0,Torneo de Uzbekistan,1,7307460.0
Jackline WAMBUI,carrera 800 m,Torneo de Tonga,1,112071.0,Torneo de Bosnia and Herzegovina,1,101926.0
Rai BENJAMIN,carrera 400 m con vallas,Torneo de United States,1,50610.0,Torneo de Estonia,1,46107.0
Jonathan KITILIT,carrera 800 m,Torneo de Cyprus,1,112052.0,Torneo de Lesotho,1,101929.0
Diana ZAGAINOVA,salto triple,Torneo de Cabo Verde,4,1816.0,Torneo de Malta,10,1996.0
Cristian N�POLES,salto triple,Torneo de Saint Lucia,9,1814.0,Torneo de Maldives,3,1996.0
Will CLAYE,salto triple,Torneo de Iraq,3,1814.0,Torneo de San Marino,7,1996.0
Ronald MUSAGALA,carrera 1500 m,Torneo de Suriname,1,229579.0,Torneo de Sierra Leone,1,208813.0
