nombre_torneo,nombre_especialidad,nombre_deportista,intento,marca,posicion
Torneo de Afghanistan,carrera 100 m,Jonielle SMITH,1,9799,1
Torneo de Afghanistan,carrera 100 m,Aleia HOBBS,1,9903,2
Torneo de Afghanistan,carrera 100 m,Twanisha TERRY,1,9952,3
Torneo de Afghanistan,carrera 10000 m,Susan KRUMINS,1,1611707,1
Torneo de Afghanistan,carrera 10000 m,Sifan HASSAN,1,1614867,2
Torneo de Afghanistan,carrera 10000 m,Tsehay GEMECHU,1,1616291,3
Torneo de Afghanistan,carrera 110 m con vallas,Sergey SHUBENKOV,1,12122,1
Torneo de Afghanistan,carrera 110 m con vallas,Chanel BRISSETT,1,12169,2
Torneo de Afghanistan,carrera 110 m con vallas,Orlando ORTEGA,1,12169,3
Torneo de Afghanistan,carrera 1500 m,Rabii DOUKKANA,1,209144,1
Torneo de Afghanistan,carrera 1500 m,Gudaf TSEGAY,1,209421,2
Torneo de Afghanistan,carrera 1500 m,Konstanze KLOSTERHALFEN,1,209424,3
Torneo de Afghanistan,carrera 200 m,Andre DE GRASSE,1,19555,1
Torneo de Afghanistan,carrera 200 m,Divine ODUDURU,1,19619,2
Torneo de Afghanistan,carrera 200 m,Andrew HUDSON,1,19753,3
Torneo de Afghanistan,carrera 21000 m,Julien WANDERS,1,3485576,1
Torneo de Afghanistan,carrera 21000 m,Berehanu TSEGU,1,3501512,2
Torneo de Afghanistan,carrera 21000 m,Bedan KAROKI,1,3514973,3
Torneo de Afghanistan,carrera 3000 m con vallas,Genevieve GREGSON,1,481268,1
Torneo de Afghanistan,carrera 3000 m con vallas,Daisy JEPKEMEI,1,484617,2
Torneo de Afghanistan,carrera 3000 m con vallas,Anna Emilie MØLLER,1,485209,3
Torneo de Afghanistan,carrera 400 m,Salwa Eid NASER,1,43468,1
Torneo de Afghanistan,carrera 400 m,Vernon NORWOOD,1,43604,2
Torneo de Afghanistan,carrera 400 m,Shericka JACKSON,1,43695,3
Torneo de Afghanistan,carrera 400 m con vallas,Aminat JAMAL,1,46112,1
Torneo de Afghanistan,carrera 400 m con vallas,Cassandra TATE,1,46168,2
Torneo de Afghanistan,carrera 400 m con vallas,Anna RYZHYKOVA,1,46210,3
Torneo de Afghanistan,carrera 42000 m,Purity Cherotich RIONORIPO,1,7320643,1
Torneo de Afghanistan,carrera 42000 m,Asefa MENGSTU,1,7351352,2
Torneo de Afghanistan,carrera 42000 m,Vivian J. CHERUIYOT,1,7354342,3
Torneo de Afghanistan,carrera 5000 m,Eilish MCCOLGAN,1,773867,1
Torneo de Afghanistan,carrera 5000 m,Tsehay GEMECHU,1,774258,2
Torneo de Afghanistan,carrera 5000 m,Yomif KEJELCHA,1,774413,3
Torneo de Afghanistan,carrera 800 m,Jonathan KITILIT,1,102312,1
Torneo de Afghanistan,carrera 800 m,Francine NIYONSABA,1,102619,2
Torneo de Afghanistan,carrera 800 m,Lynsey SHARP,1,102782,3
Torneo de Afghanistan,lanzamiento de bala,Darrell HILL,7,2500,1
Torneo de Afghanistan,lanzamiento de bala,Eldred HENRY,3,2499,2
Torneo de Afghanistan,lanzamiento de bala,Anna AVDEYEVA,5,2498,3
Torneo de Afghanistan,lanzamiento de disco,Claudine VITA,5,7867,1
Torneo de Afghanistan,lanzamiento de disco,Whitney ASHLEY,9,7863,2
Torneo de Afghanistan,lanzamiento de disco,Alex ROSE,2,7862,3
Torneo de Afghanistan,lanzamiento de jabalina,Liveta JASIŪNAITĖ,6,9951,1
Torneo de Afghanistan,lanzamiento de jabalina,Oliver HELANDER,5,9951,2
Torneo de Afghanistan,lanzamiento de jabalina,Jakub VADLEJCH,1,9879,3
Torneo de Afghanistan,lanzamiento de martillo,Yelizaveta TSAREVA,10,8960,1
Torneo de Afghanistan,lanzamiento de martillo,Javier CIENFUEGOS,8,8933,2
Torneo de Afghanistan,lanzamiento de martillo,Janee KASSANAVOID,9,8876,3
Torneo de Afghanistan,salto con pertiga,Augusto DUTRA,9,667,1
Torneo de Afghanistan,salto con pertiga,Yarisley SILVA,2,667,2
Torneo de Afghanistan,salto con pertiga,Alysha NEWMAN,7,665,3
Torneo de Afghanistan,salto de altura,Yuliya LEVCHENKO,4,261,1
Torneo de Afghanistan,salto de altura,Iryna GERASHCHENKO,2,261,2
Torneo de Afghanistan,salto de altura,Nicola MCDERMOTT,10,261,3
Torneo de Afghanistan,salto largo,Miltiadis TENTOGLOU,7,952,1
Torneo de Afghanistan,salto largo,Malaika MIHAMBO,3,950,2
