nombre_deportista,nombre_especialidad,mejor_marca,intento,nombre_torneo
nombre_deportista,nombre_especialidad,peor_marca,intento,nombre_torneo
Amere LATTIN,carrera 400 m con vallas,46115,1,Torneo de Mexico
Amere LATTIN,carrera 400 m con vallas,50682,1,Torneo de Chile
Antonio ALKANA,carrera 110 m con vallas,12099,1,Torneo de Romania
Antonio ALKANA,carrera 110 m con vallas,13307,1,Torneo de Papua New Guinea
Geoffrey KAMWOROR,carrera 21000 m,3484230,1,Torneo de Bulgaria
Geoffrey KAMWOROR,carrera 21000 m,3827647,1,Torneo de Namibia
Birhane DIBABA,carrera 42000 m,7303234,1,Torneo de Gambia
Birhane DIBABA,carrera 42000 m,8023527,1,Torneo de Syria
Matthew CENTROWITZ,carrera 1500 m,208772,1,Torneo de Niger
Matthew CENTROWITZ,carrera 1500 m,229629,1,Torneo de Saint Kitts and Nevis
Genevieve GREGSON,carrera 3000 m con vallas,481076,1,Torneo de Chad
Genevieve GREGSON,carrera 3000 m con vallas,528811,1,Torneo de Mexico
Nicholas Kiptanui BETT,carrera 3000 m con vallas,481261,1,Torneo de Seychelles
Nicholas Kiptanui BETT,carrera 3000 m con vallas,528928,1,Torneo de Nicaragua
Nikita TRACEY,carrera 400 m con vallas,46153,1,Torneo de Ivory Coast
Nikita TRACEY,carrera 400 m con vallas,50617,1,Torneo de Zambia
Marius KIPSEREM,carrera 42000 m,7307460,1,Torneo de Uzbekistan
Marius KIPSEREM,carrera 42000 m,8026004,1,Torneo de Afghanistan
Solomon BERIHU,carrera 21000 m,3484137,1,Torneo de Vatican City
Solomon BERIHU,carrera 21000 m,3826954,1,Torneo de Cambodia
Janeek BROWN,carrera 200 m,19505,1,Torneo de Niger
Janeek BROWN,carrera 200 m,21442,1,Torneo de Australia
Sally PEARSON,carrera 110 m con vallas,12100,1,Torneo de Palau
Sally PEARSON,carrera 110 m con vallas,13305,1,Torneo de Mongolia
Aminat JAMAL,carrera 400 m con vallas,46108,1,Torneo de Haiti
Aminat JAMAL,carrera 400 m con vallas,50698,1,Torneo de Botswana
Rai BENJAMIN,carrera 400 m,43457,1,Torneo de Burkina Faso
Rai BENJAMIN,carrera 400 m,47794,1,Torneo de Cyprus
Ayanleh SOULEIMAN,carrera 800 m,101918,1,Torneo de Barbados
Ayanleh SOULEIMAN,carrera 800 m,112066,1,Torneo de Rwanda
Shura KITATA,carrera 42000 m,7307905,1,Torneo de Slovakia
Shura KITATA,carrera 42000 m,8024238,1,Torneo de Myanmar
Elaine THOMPSON,carrera 200 m,19500,1,Torneo de Grenada
Elaine THOMPSON,carrera 200 m,21444,1,Torneo de Luxembourg
Gabriel CONSTANTINO,carrera 110 m con vallas,12098,1,Torneo de Timor-Leste
Gabriel CONSTANTINO,carrera 110 m con vallas,13306,1,Torneo de Lesotho
Edwin KIPTOO,carrera 21000 m,3484115,1,Torneo de Grenada
Edwin KIPTOO,carrera 21000 m,3827304,1,Torneo de Thailand
Abdelmalik LAHOULOU,carrera 400 m con vallas,46099,1,Torneo de Chile
Abdelmalik LAHOULOU,carrera 400 m con vallas,50702,1,Torneo de Lithuania
Noah LYLES,carrera 100 m,9760,1,Torneo de Puerto Rico
Noah LYLES,carrera 100 m,10736,1,Torneo de Libya
Workenesh EDESA,carrera 42000 m,7304505,1,Torneo de Lebanon
Workenesh EDESA,carrera 42000 m,8028679,1,Torneo de Chile
Lopez LOMONG,carrera 5000 m,772331,1,Torneo de Nigeria
Lopez LOMONG,carrera 5000 m,849264,1,Torneo de Norway
Courtney FRERICHS,carrera 3000 m con vallas,482244,1,Torneo de Solomon Islands
Courtney FRERICHS,carrera 3000 m con vallas,528970,1,Torneo de Switzerland
Amy HUNT,carrera 200 m,19501,1,Torneo de Greece
Amy HUNT,carrera 200 m,21438,1,Torneo de Netherlands
Arthur CISSÉ,carrera 100 m,9760,1,Torneo de Georgia
Arthur CISSÉ,carrera 100 m,10735,1,Torneo de Eritrea
Felix KIBITOK,carrera 21000 m,3482012,1,Torneo de Lebanon
Felix KIBITOK,carrera 21000 m,3826570,1,Torneo de Poland
Sharika NELVIS,carrera 110 m con vallas,12129,1,Torneo de Sudan
Sharika NELVIS,carrera 110 m con vallas,13304,1,Torneo de Bangladesh
