nombre_torneo,nombre_especialidad,nombre_deportista,marca,intento
Torneo de Latvia,carrera 42000 m,Degitu AZIMERAW,7309717,1
Torneo de Latvia,carrera 42000 m,Kinde ATANAW,7390596,1
Torneo de Latvia,carrera 42000 m,Valary JEMELI,7391256,1
Torneo de Egypt,carrera 400 m,Steven GARDINER,43483,1
Torneo de Egypt,carrera 400 m,Emmanuel Kipkurui KORIR,43537,1
Torneo de Egypt,carrera 400 m,Courtney OKOLO,43545,1
Torneo de Indonesia,carrera 400 m,Justyna ŚWIĘTY-ERSETIC,43475,1
Torneo de Indonesia,carrera 400 m,Steven GARDINER,43534,1
Torneo de Indonesia,carrera 400 m,Stephenie Ann MCPHERSON,43836,1
Torneo de Ukraine,carrera 3000 m con vallas,Stanley Kipkoech KEBENEI,485807,1
Torneo de Ukraine,carrera 3000 m con vallas,Mercy CHEPKURUI,487708,1
Torneo de Ukraine,carrera 3000 m con vallas,Maruša MIŠMAŠ,492641,1
Torneo de Eritrea,carrera 3000 m con vallas,Barnabas KIPYEGO,483366,1
Torneo de Eritrea,carrera 3000 m con vallas,Fernando CARRO,483676,1
Torneo de Eritrea,carrera 3000 m con vallas,Mercy CHEPKURUI,485816,1
Torneo de Burkina Faso,carrera 400 m,Rai BENJAMIN,43457,1
Torneo de Burkina Faso,carrera 400 m,Nathan STROTHER,43463,1
Torneo de Burkina Faso,carrera 400 m,Sydney MCLAUGHLIN,43474,1
Torneo de Kosovo,carrera 42000 m,Lonah Chemtai SALPETER,7329992,1
Torneo de Kosovo,carrera 42000 m,Ruth CHEPNGETICH,7332152,1
Torneo de Kosovo,carrera 42000 m,Worknesh DEGEFA,7334279,1
Torneo de Portugal,carrera 400 m,Vernon NORWOOD,43711,1
Torneo de Portugal,carrera 400 m,Courtney OKOLO,43855,1
Torneo de Portugal,carrera 400 m,Steven GARDINER,43939,1
Torneo de Finland,carrera 800 m,Timothy CHERUIYOT,102002,1
Torneo de Finland,carrera 800 m,Nijel AMOS,102290,1
Torneo de Finland,carrera 800 m,Bryce HOPPEL,102424,1
Torneo de Antigua and Barbuda,carrera 3000 m con vallas,Colleen QUIGLEY,481611,1
Torneo de Antigua and Barbuda,carrera 3000 m con vallas,Karoline Bjerkeli GRØVDAL,484938,1
Torneo de Antigua and Barbuda,carrera 3000 m con vallas,Emma COBURN,488331,1
Torneo de Ivory Coast,carrera 800 m,Natoya GOULE,102772,1
Torneo de Ivory Coast,carrera 800 m,Michael SARUNI,102911,1
Torneo de Ivory Coast,carrera 800 m,Wyclife KINYAMAL,103075,1
Torneo de Dominican Republic,carrera 100 m,Mario BURKE,9810,1
Torneo de Dominican Republic,carrera 100 m,Twanisha TERRY,9831,1
Torneo de Dominican Republic,carrera 100 m,Dina ASHER-SMITH,9922,1
Torneo de Tuvalu,carrera 100 m,Mario BURKE,9770,1
Torneo de Tuvalu,carrera 100 m,Michael RODGERS,9787,1
Torneo de Tuvalu,carrera 100 m,Twanisha TERRY,9816,1
Torneo de Bulgaria,carrera 5000 m,Joshua CHEPTEGEI,772673,1
Torneo de Bulgaria,carrera 5000 m,Jakob INGEBRIGTSEN,775842,1
Torneo de Bulgaria,carrera 5000 m,Beatrice CHEPKOECH,776554,1
Torneo de Thailand,carrera 5000 m,Karissa SCHWEIZER,774370,1
Torneo de Thailand,carrera 5000 m,Sifan HASSAN,780697,1
Torneo de Thailand,carrera 5000 m,Konstanze KLOSTERHALFEN,780832,1
Torneo de Algeria,carrera 100 m,Kayla WHITE,9765,1
Torneo de Algeria,carrera 100 m,Noah LYLES,9774,1
Torneo de Algeria,carrera 100 m,Shelly-Ann FRASER-PRYCE,9797,1
Torneo de Vanuatu,carrera 10000 m,Senbere TEFERI,1610719,1
Torneo de Vanuatu,carrera 10000 m,Yomif KEJELCHA,1610808,1
Torneo de Vanuatu,carrera 10000 m,Letesenbet GIDEY,1614160,1
Torneo de Yemen,carrera 3000 m con vallas,Mercy WANJIRU,481301,1
Torneo de Yemen,carrera 3000 m con vallas,Maruša MIŠMAŠ,481485,1
Torneo de Yemen,carrera 3000 m con vallas,Luiza GEGA,481856,1
Torneo de Tuvalu,carrera 200 m,Elaine THOMPSON,19503,1
Torneo de Tuvalu,carrera 200 m,Aaron BROWN,19601,1
Torneo de Tuvalu,carrera 200 m,Steven GARDINER,19726,1
Torneo de Denmark,carrera 400 m con vallas,Sage WATSON,46203,1
Torneo de Denmark,carrera 400 m con vallas,Aminat JAMAL,46344,1
Torneo de Denmark,carrera 400 m con vallas,Zurian HECHAVARRÍA,46388,1
Torneo de Azerbaijan,carrera 10000 m,Julien WANDERS,1610032,1
Torneo de Azerbaijan,carrera 10000 m,Rodgers KWEMOI,1612638,1
Torneo de Azerbaijan,carrera 10000 m,Hellen OBIRI,1617462,1
Torneo de Afghanistan,carrera 1500 m,Rabii DOUKKANA,209144,1
Torneo de Afghanistan,carrera 1500 m,Gudaf TSEGAY,209421,1
Torneo de Afghanistan,carrera 1500 m,Konstanze KLOSTERHALFEN,209424,1
Torneo de Nigeria,carrera 400 m,Salwa Eid NASER,43479,1
Torneo de Nigeria,carrera 400 m,Aminatou SEYNI,43526,1
